Tipo de Rede;Tipo de Monitoramento;Tipo;Data;Hora;Código Estação;Nome Estação;Parâmetro;Unidade Medida;Valor;Média Móvel;Válido;Dt. Amostragem;Dt. Instalação;Dt. Retirada;Concentração;Taxa;DataHora
A;CETESB;Dados Primários;01/01/2019;01:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;57;-;Sim;-;-;-;-;-;01/01/2019 01:00
A;CETESB;Dados Primários;01/01/2019;02:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;45;-;Sim;-;-;-;-;-;01/01/2019 02:00
A;CETESB;Dados Primários;01/01/2019;03:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;44;-;Sim;-;-;-;-;-;01/01/2019 03:00
A;CETESB;Dados Primários;01/01/2019;04:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;45;-;Sim;-;-;-;-;-;01/01/2019 04:00
A;CETESB;Dados Primários;01/01/2019;05:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;33;-;Sim;-;-;-;-;-;01/01/2019 05:00
A;CETESB;Dados Primários;01/01/2019;06:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;33;-;Sim;-;-;-;-;-;01/01/2019 06:00
A;CETESB;Dados Primários;01/01/2019;07:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;42;-;Sim;-;-;-;-;-;01/01/2019 07:00
A;CETESB;Dados Primários;01/01/2019;08:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;38;-;Sim;-;-;-;-;-;01/01/2019 08:00
A;CETESB;Dados Primários;01/01/2019;09:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;45;-;Sim;-;-;-;-;-;01/01/2019 09:00
A;CETESB;Dados Primários;01/01/2019;10:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;59;-;Sim;-;-;-;-;-;01/01/2019 10:00
A;CETESB;Dados Primários;01/01/2019;11:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;68;-;Sim;-;-;-;-;-;01/01/2019 11:00
A;CETESB;Dados Primários;01/01/2019;12:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;71;-;Sim;-;-;-;-;-;01/01/2019 12:00
A;CETESB;Dados Primários;01/01/2019;13:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;72;-;Sim;-;-;-;-;-;01/01/2019 13:00
A;CETESB;Dados Primários;01/01/2019;14:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;79;-;Sim;-;-;-;-;-;01/01/2019 14:00
A;CETESB;Dados Primários;01/01/2019;15:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;90;-;Sim;-;-;-;-;-;01/01/2019 15:00
A;CETESB;Dados Primários;01/01/2019;16:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;88;-;Sim;-;-;-;-;-;01/01/2019 16:00
A;CETESB;Dados Primários;01/01/2019;17:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;90;-;Sim;-;-;-;-;-;01/01/2019 17:00
A;CETESB;Dados Primários;01/01/2019;18:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;79;-;Sim;-;-;-;-;-;01/01/2019 18:00
A;CETESB;Dados Primários;01/01/2019;19:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;87;-;Sim;-;-;-;-;-;01/01/2019 19:00
A;CETESB;Dados Primários;01/01/2019;20:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;74;-;Sim;-;-;-;-;-;01/01/2019 20:00
A;CETESB;Dados Primários;01/01/2019;21:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;60;-;Sim;-;-;-;-;-;01/01/2019 21:00
A;CETESB;Dados Primários;01/01/2019;22:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;44;-;Sim;-;-;-;-;-;01/01/2019 22:00
A;CETESB;Dados Primários;01/01/2019;23:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;39;-;Sim;-;-;-;-;-;01/01/2019 23:00
A;CETESB;Dados Primários;01/01/2019;24:00:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;38;-;Sim;-;-;-;-;-;01/01/2019 00:00
A;CETESB;Dados Primários;02/01/2019;01:00;284;Pico do Jaraguá;O3 (Ozônio);µg/m3;43;-;Sim;-;-;-;-;-;02/01/2019 01:00
